"https://docs.google.com/spreadsheets/d/1q-2sXGsFYsKf3nV5u5golTVrLH5sfc0doiWwz_kavE4/edit?usp=sharing
https://docs.google.com/spreadsheets/d/1k16nGFCE7oBXrEqvTpHSA2Z5530GM_kou-wiWklTsfY/edit?usp=sharing
1d=信号=观望 方向=多头 评分=1.7 结构=区间震荡","5m=等级=紧张 分=31.6
15m=等级=一般 分=50.49
1h=等级=一般 分=51.61
4h=等级=一般 分=55.09
1d=等级=一般 分=56.81","5m=风险=-0.921 陈旧=0
15m=风险=-0.858 陈旧=0
1h=风险=-2.06 陈旧=0
4h=风险=-2.55 陈旧=0
1d=风险=-2.68 陈旧=0"
2,TOSHI,178.3421,多头共振,791754.26,0.004%,-0%,80.2431,1.1428,-1.9355,1,75,"5m=-0.072%
15m=0.155%
1h=0.183%
4h=-2.444%
1d=-3.287%
1w=-10.516%","5m=-0.005%
15m=0.021%
1h=0.323%
4h=-1.338%
1d=-3.932%
1w=0.187%","5m=-0.1642
15m=0.2386
1h=0.1626
4h=-0.714
1d=-0.3163
1w=2.1448","5m=-0.0148
15m=0.0386
1h=0.2511
4h=-0.5156
1d=-0.798
1w=1.8435","5m=-0.067%
15m=0.134%
1h=-0.14%
4h=-1.106%
1d=0.645%
1w=-10.703%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=0.00015
15m=0.00015
1h=0.00015
4h=0.00015
1d=0.000147","5m=0.067%
15m=0%
1h=0%
4h=2.1%
1d=-0.808%","5m=1395.04
15m=6865.67
1h=20414572.04
4h=56856532.98
1d=742084842.5","5m=0.925
15m=0.629
1h=0.457
4h=0.677
1d=0.452","5m=1185.02
15m=1774.37
1h=-1766193.94
4h=19948915.21
1d=-71167355.39","5m=方向=多头排列 带宽=3.32
15m=方向=多头排列 带宽=13.03
1h=方向=偏空 带宽=49.8
4h=方向=偏空 带宽=96.83","5m=均值=52.73 方向=震荡 位置=中性区
15m=均值=51.23 方向=震荡 位置=中性区
1h=均值=52.25 方向=震荡 位置=中性区
4h=均值=47.08 方向=震荡 位置=中性区
1d=均值=26.27 方向=震荡 位置=超卖区","5m=柱=0 信号=延续
15m=柱=0 信号=延续
1h=柱=0 信号=延续
4h=柱=0.000001 信号=延续
1d=柱=-0.000005 信号=延续","5m=K=70.19 D=65.23 J=80.11
15m=K=73.8 D=67.02 J=87.38
1h=K=56.38 D=60.73 J=47.69
4h=K=61.94 D=55.41 J=74.99
1d=K=14.2 D=13.65 J=15.3","5m=10.48 +DI=18.83 -DI=24.43
15m=19.32 +DI=26.98 -DI=20.65
1h=11.4 +DI=24.46 -DI=24.73
4h=34.21 +DI=14.42 -DI=25.18
1d=30.78 +DI=8.27 -DI=25.9","5m=25.47
15m=-50.87
1h=65.12
4h=-20.89
1d=-123.4","5m=19.8%
15m=46.4%
1h=114%
4h=249%
1d=641%","5m=%B=0.597 带宽=0.449
15m=%B=0.36 带宽=2.25
1h=%B=0.676 带宽=3.45
4h=%B=0.467 带宽=10.42
1d=%B=0.121 带宽=36.74","5m=方向=空 值=0.00015
15m=方向=多 值=0.000149
1h=方向=多 值=0.000145
4h=方向=空 值=0.000154","5m=114%
15m=7.03%
1h=-512%
4h=-501%
1d=-689%","5m=位置=价值区上方 覆盖=7273%
15m=位置=价值区内 覆盖=7077%
1h=位置=价值区内 覆盖=7400%
4h=位置=价值区内 覆盖=7378%
1d=位置=价值区内 覆盖=7346%","5m=0.0806
15m=0.0545
1h=-8.31
4h=0.855
1d=-204.75","5m=-5.56
15m=-4
1h=-3424.18
4h=-407.44
1d=-4681.88","5m=62.32
15m=27.28
1h=59.97
4h=31.69
1d=24.17","5m=支撑=33.4% 阻力=26.7%
15m=支撑=107% 阻力=140%
1h=支撑=314% 阻力=154%
4h=支撑=485% 阻力=592%
1d=支撑=285% 阻力=3992%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=观望 方向=多头 评分=2.7 结构=区间震荡
4h=信号=观望 方向=空头 评分=-1.3 结构=区间震荡
1d=信号=观望 方向=空头 评分=-4.8 结构=空头突破","5m=等级=一般 分=54.68
15m=等级=紧张 分=47.71
1h=等级=一般 分=58.98
4h=等级=一般 分=55.48
1d=等级=一般 分=56.46","5m=风险=11.5 陈旧=0
15m=风险=2.11 陈旧=0
1h=风险=2.63 陈旧=0
4h=风险=-0.307 陈旧=0
1d=风险=1.03 陈旧=0"
3,ETHW,142.0377,多头共振,835255.17,0.004%,-0%,57.3,1.0772,-1.7958,1,75,"5m=-0.41%
15m=-0.141%
1h=0.019%
4h=0.815%
1d=13.265%
1w=4.722%","5m=-0.083%
15m=-0.119%
1h=0.081%
4h=-0.853%
1d=5.891%
1w=1.238%","5m=-0.5096
15m=-0.1166
1h=-0.014
4h=0.1652
1d=1.9309
1w=1.5007","5m=-0.1366
15m=-0.1206
1h=0.0373
4h=-0.3071
1d=1.1521
1w=1.2807","5m=-0.327%
15m=-0.023%
1h=-0.061%
4h=1.668%
1d=7.374%
1w=3.485%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=0.284
15m=0.284
1h=0.283
4h=0.28
1d=0.275","5m=-0.07%
15m=-0.211%
1h=0.106%
4h=1.71%
1d=3.85%","5m=3700.58
15m=1332821.85
1h=19676418.42
4h=92641815.33
1d=1562832942.12","15m=0.994
1h=0.796
4h=0.633
1d=0.457","15m=1316467.78
1h=11670651
4h=24553374.11
1d=-130979542.79","5m=方向=偏多 带宽=40.36
15m=方向=多头排列 带宽=66.04
1h=方向=多头排列 带宽=66.2
4h=方向=偏多 带宽=69.13","5m=均值=54.67 方向=震荡 位置=中性区
15m=均值=61.84 方向=震荡 位置=中性区
1h=均值=75.55 方向=震荡 位置=超买区
4h=均值=64.49 方向=震荡 位置=中性区
1d=均值=46.46 方向=震荡 位置=中性区","5m=柱=-0.00026 信号=延续
15m=柱=0.000342 信号=延续
1h=柱=0.00173 信号=延续
4h=柱=0.00337 信号=延续
1d=柱=-0.00235 信号=延续","5m=K=67.04 D=71.05 J=59.03
15m=K=82.6 D=82.57 J=82.66
1h=K=85.79 D=86.14 J=85.08
4h=K=71.33 D=66.19 J=81.6
1d=K=42.08 D=36.4 J=53.44","5m=25.63 +DI=24.39 -DI=20.85
15m=34.71 +DI=27.71 -DI=13.38
1h=36.4 +DI=34.88 -DI=8.67
4h=13.34 +DI=28.16 -DI=15.71
1d=25.1 +DI=21.62 -DI=16.23","5m=-15.15
15m=101.88
1h=126.56
4h=129.48
1d=-52.15","5m=30.3%
15m=61.9%
1h=140%
4h=279%
1d=753%","5m=%B=0.464 带宽=0.774
15m=%B=0.795 带宽=3.42
1h=%B=0.888 带宽=8.95
4h=%B=0.976 带宽=8.82
1d=%B=0.37 带宽=30.98","5m=方向=多 值=0.283
15m=方向=多 值=0.28
1h=方向=多 值=0.268
4h=方向=多 值=0.253","5m=621%
15m=584%
1h=374%
4h=194%
1d=-32.5%","5m=位置=价值区上方 覆盖=7074%
15m=位置=价值区上方 覆盖=7116%
1h=位置=价值区上方 覆盖=7637%
4h=位置=价值区内 覆盖=8789%
1d=位置=价值区内 覆盖=7279%","5m=0.254
15m=0.239
1h=-0.737
4h=2.85
1d=56.69","5m=-30.54
15m=-10.66
1h=-2146.11
4h=-4144.18
1d=-1991.87","5m=71.05
15m=67.5
1h=80.21
4h=67.75
1d=65.9","5m=支撑=49.3% 阻力=49.3%
15m=支撑=222% 阻力=49.3%
1h=支撑=835% 阻力=117%
4h=支撑=897% 阻力=218%
1d=支撑=742% 阻力=3195%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=观望 方向=多头 评分=1.7 结构=区间震荡
4h=信号=观望 方向=多头 评分=2.7 结构=区间震荡
1d=信号=观望 方向=空头 评分=-1.3 结构=区间震荡","5m=等级=紧张 分=47.34
15m=等级=紧张 分=48.1
1h=等级=一般 分=57.42
4h=等级=一般 分=56.74
1d=等级=一般 分=55.25","5m=风险=10.34 陈旧=0
15m=风险=-0.277 陈旧=0
1h=风险=-1.09 陈旧=0
4h=风险=0.216 陈旧=0
1d=风险=-0.465 陈旧=0"
4,PENGU,100.8924,大户领先做多,20115155.48,0.105%,-0%,0.5174,1.2616,0.7182,1,75,"5m=-0.425%
15m=-0.069%
1h=0.364%
4h=-3.089%
1d=-1.585%
1w=-5.199%","5m=-0.106%
15m=-0.215%
1h=-0.001%
4h=-3.194%
1d=-5.212%
1w=4.41%","5m=-0.7128
15m=-0.0666
1h=0.1661
4h=-0.7916
1d=-0.1141
1w=-1.4517","5m=-0.2419
15m=-0.2816
1h=-0.0318
4h=-1.0409
1d=-1.0407
1w=-1.6809","5m=-0.32%
15m=0.146%
1h=0.365%
4h=0.105%
1d=3.627%
1w=-9.609%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=0.00804
15m=0.00804
1h=0.00801
4h=0.00802
1d=0.0079","5m=-0.359%
15m=-0.025%
1h=1.39%
4h=1.57%
1d=2.31%","5m=5990432.08
15m=7913902.8
1h=24658456.76
4h=52160456.1
1d=1007371118.19","5m=0
15m=0.234
1h=0.662
4h=0.464
1d=0.414","5m=-5989928.2
15m=-4205754.96
1h=7984092.75
4h=-3785551.23
1d=-173052924.69","5m=方向=多头排列 带宽=22.03
15m=方向=多头排列 带宽=37.49
1h=方向=偏空 带宽=61
4h=方向=偏空 带宽=96.96","5m=均值=57.11 方向=震荡 位置=中性区
15m=均值=56.57 方向=震荡 位置=中性区
1h=均值=55.62 方向=震荡 位置=中性区
4h=均值=48.74 方向=震荡 位置=中性区
1d=均值=37.22 方向=震荡 位置=中性区","5m=柱=0.000014 信号=延续
15m=柱=0 信号=延续
1h=柱=0.000036 信号=延续
4h=柱=0.000079 信号=延续
1d=柱=-0.000341 信号=延续","5m=K=74.07 D=75.64 J=70.93
15m=K=85.04 D=79.45 J=96.24
1h=K=54.09 D=60.24 J=41.8
4h=K=69.03 D=60.75 J=85.58
1d=K=13.94 D=17.57 J=6.67","5m=30.16 +DI=32.98 -DI=21.09
15m=19.18 +DI=29.91 -DI=23.15
1h=21.81 +DI=22.29 -DI=24.24
4h=31.33 +DI=20.2 -DI=20.41
1d=21.55 +DI=14.98 -DI=29.33","5m=141.19
15m=4.12
1h=75.38
4h=1.93
1d=-146.09","5m=42.6%
15m=84.6%
1h=165%
4h=291%
1d=808%","5m=%B=0.792 带宽=1.08
15m=%B=0.531 带宽=4.77
1h=%B=0.729 带宽=7.81
4h=%B=0.505 带宽=15.1
1d=%B=0.138 带宽=30.8","5m=方向=多 值=0.00793
15m=方向=空 值=0.00811
1h=方向=多 值=0.00756
4h=方向=空 值=0.00847","5m=445%
15m=313%
1h=-649%
4h=-928%
1d=-806%","5m=位置=价值区上方 覆盖=7035%
15m=位置=价值区内 覆盖=7126%
1h=位置=价值区内 覆盖=7158%
4h=位置=价值区内 覆盖=7392%
1d=位置=价值区内 覆盖=7061%","5m=-0.0222
15m=-0.0179
1h=-0.839
4h=0.757
1d=0.921","5m=-67.66
15m=-3.38
1h=-140.46
4h=-52.93
1d=-951.48","5m=22.13
15m=39.61
1h=44.62
4h=66.08
1d=34.26","5m=支撑=182% 阻力=43.5%
15m=支撑=321% 阻力=195%
1h=支撑=610% 阻力=231%
4h=支撑=620% 阻力=732%
1d=支撑=472% 阻力=4009%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=观望 方向=多头 评分=2.7 结构=区间震荡
4h=信号=观望 方向=空头 评分=-4.8 结构=空头突破
1d=信号=观望 方向=空头 评分=-4.8 结构=空头突破","5m=等级=良好 分=66.8
15m=等级=一般 分=56.94
1h=等级=一般 分=58.97
4h=等级=一般 分=53.31
1d=等级=一般 分=56.01","5m=风险=0.443 陈旧=0
15m=风险=0.934 陈旧=0
1h=风险=-0.876 陈旧=0
4h=风险=-2.14 陈旧=0
1d=风险=-1.35 陈旧=0"
5,ICX,53.7094,多头共振,1242357.08,0.006%,0%,24.9671,1.6976,-0.3661,1,75,"5m=0.052%
15m=0.687%
1h=0.62%
4h=-0.086%
1d=6.266%
1w=19.874%","5m=-0.032%
15m=0.274%
1h=0.286%
4h=0.233%
1d=0.824%
1w=10.463%","5m=0.1352
15m=1.2151
1h=0.4537
4h=-0.2732
1d=1.0764
1w=-0.7449","5m=-0.1688
15m=0.6669
1h=0.274
4h=-0.0155
1d=-0.2182
1w=-0.8901","5m=0.085%
15m=0.413%
1h=0.334%
4h=-0.318%
1d=5.442%
1w=9.411%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=0.0384
15m=0.0384
1h=0.0383
4h=0.0387
1d=0.0381","5m=0.078%
15m=0.104%
1h=-0.312%
4h=1.65%
1d=4.47%","5m=3713.31
15m=11243.01
1h=10674180.91
4h=85592139.45
1d=443057314.33","5m=0.096
15m=0.164
1h=0.0008
4h=0.588
1d=0.456","5m=-2999.17
15m=-7534.65
1h=-10658062.84
4h=15087941.66
1d=-38419564.53","5m=方向=偏多 带宽=14.26
15m=方向=多头排列 带宽=56.11
1h=方向=多头排列 带宽=76.74
4h=方向=偏多 带宽=45.31","5m=均值=56.4 方向=震荡 位置=中性区
15m=均值=54.2 方向=震荡 位置=中性区
1h=均值=63.59 方向=震荡 位置=中性区
4h=均值=69.29 方向=震荡 位置=中性区
1d=均值=55.34 方向=震荡 位置=中性区","5m=柱=0.000034 信号=延续
15m=柱=-0.000127 信号=延续
1h=柱=0.000208 信号=延续
4h=柱=0.000641 信号=延续
1d=柱=0.000065 信号=金叉/零轴上穿","5m=K=65.99 D=56.8 J=84.37
15m=K=54.8 D=45.22 J=73.97
1h=K=81.55 D=86.57 J=71.53
4h=K=91.91 D=84.31 J=107.11
1d=K=69.17 D=57.5 J=92.52","5m=23.27 +DI=26.09 -DI=14.96
15m=24.14 +DI=15.49 -DI=17.12
1h=30.32 +DI=31.08 -DI=15.03
4h=27.61 +DI=33.59 -DI=8.21
1d=14.75 +DI=10.5 -DI=15.83","5m=34.14
15m=-54.58
1h=86.09
4h=275.58
1d=-5.97","5m=37.9%
15m=62.6%
1h=118%
4h=229%
1d=531%","5m=%B=0.868 带宽=0.528
15m=%B=0.386 带宽=1.72
1h=%B=0.755 带宽=10.02
4h=%B=1.14 带宽=10.44
1d=%B=0.599 带宽=18.83","5m=方向=空 值=0.0386
15m=方向=空 值=0.0391
1h=方向=多 值=0.037
4h=方向=多 值=0.0353","5m=320%
15m=521%
1h=422%
4h=522%
1d=343%","5m=位置=价值区上方 覆盖=7062%
15m=位置=价值区上方 覆盖=7149%
1h=位置=价值区上方 覆盖=7296%
4h=位置=价值区上方 覆盖=7483%
1d=位置=价值区上方 覆盖=7400%","5m=-2.51
15m=1.08
1h=2.75
4h=2.92
1d=39.1","5m=-3.16
15m=-29.51
1h=-3218.87
4h=-2204.74
1d=-2518.27","5m=36.64
15m=58.24
1h=70.24
4h=78.75
1d=56.03","5m=支撑=49.4% 阻力=15.6%
15m=支撑=70.2% 阻力=101%
1h=支撑=694% 阻力=130%
4h=支撑=1103% 阻力=28.4%
1d=支撑=1029% 阻力=950%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=买入 方向=多头 评分=5.2 结构=多头突破
4h=信号=买入 方向=多头 评分=5.2 结构=多头突破
1d=信号=观望 方向=多头 评分=1.7 结构=区间震荡","5m=等级=紧张 分=49.89
15m=等级=紧张 分=46.82
1h=等级=一般 分=58.74
4h=等级=一般 分=59.43
1d=等级=一般 分=58.27","5m=风险=11.24 陈旧=0
15m=风险=2.71 陈旧=0
1h=风险=0.798 陈旧=0
4h=风险=-1.05 陈旧=0
1d=风险=0.532 陈旧=0"
6,TLM,47.4141,主动买领先空,986241.62,0.005%,-0%,1.4882,1.8467,-1.5899,3,75,"5m=-1.524%
15m=-1.946%
1h=-1.7%
4h=-3.755%
1d=-7.487%
1w=16.311%","5m=-0.518%
15m=-0.538%
1h=-0.011%
4h=-2.946%
1d=-13.185%
1w=41.544%","5m=-2.5766
15m=-2.0218
1h=-0.9525
4h=-1.1169
1d=-0.9237
1w=-3.5861","5m=-0.7793
15m=-0.5285
1h=-0.1098
4h=-0.8122
1d=-1.2162
1w=-1.6784","5m=-1.005%
15m=-1.408%
1h=-1.689%
4h=-0.809%
1d=5.699%
1w=-25.233%","4h=2026-05-30 04:00:00
1d=2026-05-29 08:00:00","4h=0.00144
1d=0.00144","4h=-1.1%
1d=4.97%","4h=278854.71
1d=4182156.65","4h=0.476
1d=0.495","4h=-13440.88
1d=-36913.13",4h=方向=偏空 带宽=98.63,"4h=均值=55.67 方向=震荡 位置=中性区
1d=均值=32.79 方向=震荡 位置=中性区","4h=柱=0.000036 信号=延续
1d=柱=-0.000084 信号=延续","4h=K=61.63 D=64.45 J=56.01
1d=K=18.95 D=13.97 J=28.91","4h=32.26 +DI=32.72 -DI=18.35
1d=39.33 +DI=14.79 -DI=29.34","4h=131.71
1d=-84.96","4h=316%
1d=800%","4h=%B=0.894 带宽=10.52
1d=%B=0.225 带宽=58.8",4h=方向=多 值=0.00125,"4h=-2007%
1d=-1857%","4h=位置=价值区下方 覆盖=7260%
1d=位置=价值区内 覆盖=7469%","4h=0.125
1d=-0.454","4h=-34.11
1d=-382.36","4h=79.27
1d=29.48","4h=支撑=974% 阻力=612%
1d=支撑=974% 阻力=4857%","4h=信号=买入 方向=多头 评分=6.2 结构=多头突破
1d=信号=观望 方向=空头 评分=-4.8 结构=空头突破","4h=等级=紧张 分=47.65
1d=等级=一般 分=50.38","5m=风险=-3.19 陈旧=0
15m=风险=-1.07 陈旧=0
1h=风险=0.299 陈旧=0
4h=风险=-1.09 陈旧=0
1d=风险=-0.77 陈旧=0"
7,TA,45.6545,多头共振,8094158.21,0.042%,0%,21.3543,1.9618,0.0267,2,75,"5m=0.087%
15m=0.048%
1h=0.256%
4h=1.538%
1d=3.883%
1w=-33.604%","5m=-0.032%
15m=-0.031%
1h=0.062%
4h=0.466%
1d=1.889%
1w=-28.643%","5m=0.227
15m=0.1282
1h=0.2892
4h=0.6686
1d=0.8342
1w=0.7973","5m=-0.1169
15m=0.0592
1h=0.3176
4h=0.6184
1d=0.9822
1w=-1.2439","5m=0.119%
15m=0.079%
1h=0.194%
4h=1.072%
1d=1.993%
1w=-4.962%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=0.064
15m=0.064
1h=0.0639
4h=0.0637
1d=0.064","5m=0.031%
15m=0.078%
1h=0.11%
4h=-0.547%
1d=1.94%","5m=1935.25
15m=8015.23
1h=4830889.92
4h=26912547.44
1d=261220243.32","5m=0.914
15m=0.628
1h=0.212
4h=0.368
1d=0.502","5m=1602.6
15m=2055.88
1h=-2786020.83
4h=-7107741.55
1d=1183397.59","5m=方向=多头排列 带宽=11.67
15m=方向=多头排列 带宽=24.45
1h=方向=多头排列 带宽=57.71
4h=方向=多头排列 带宽=79.56","5m=均值=59.61 方向=震荡 位置=中性区
15m=均值=60.41 方向=震荡 位置=中性区
1h=均值=60.94 方向=震荡 位置=中性区
4h=均值=59.42 方向=震荡 位置=中性区
1d=均值=61.33 方向=震荡 位置=中性区","5m=柱=0.000002 信号=延续
15m=柱=0.000057 信号=延续
1h=柱=-0.000038 信号=延续
4h=柱=0.00041 信号=延续
1d=柱=-0.000412 信号=延续","5m=K=84.37 D=82.74 J=87.63
15m=K=89.03 D=84.83 J=97.43
1h=K=68.98 D=63.26 J=80.43
4h=K=79.59 D=83.68 J=71.41
1d=K=50.19 D=43.52 J=63.54","5m=19.98 +DI=24.11 -DI=34.08
15m=20.69 +DI=22.97 -DI=20.24
1h=19.99 +DI=17.26 -DI=16.34
4h=14.53 +DI=21.37 -DI=18.2
1d=26.17 +DI=22.1 -DI=19.95","5m=113.14
15m=86.92
1h=66.1
4h=113.33
1d=56.77","5m=17.4%
15m=39.9%
1h=78%
4h=247%
1d=853%","5m=%B=0.813 带宽=0.383
15m=%B=0.852 带宽=0.975
1h=%B=0.739 带宽=2.7
4h=%B=0.814 带宽=7.54
1d=%B=0.688 带宽=40.82","5m=方向=多 值=0.0638
15m=方向=多 值=0.0633
1h=方向=空 值=0.0657
4h=方向=多 值=0.0587","5m=106%
15m=267%
1h=342%
4h=353%
1d=519%","5m=位置=价值区内 覆盖=7503%
15m=位置=价值区上方 覆盖=7061%
1h=位置=价值区内 覆盖=7069%
4h=位置=价值区内 覆盖=7034%
1d=位置=价值区内 覆盖=7180%","5m=-0.822
15m=0.536
1h=0.103
4h=0.255
1d=-281.5","5m=-1.09
15m=-3.84
1h=-553.63
4h=-135.2
1d=-3632.23","5m=60.71
15m=52.42
1h=84.62
4h=71.74
1d=29.96","5m=支撑=43.7% 阻力=6.25%
15m=支撑=99.9% 阻力=6.25%
1h=支撑=205% 阻力=106%
4h=支撑=1192% 阻力=143%
1d=支撑=2762% 阻力=1485%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=观望 方向=多头 评分=1.7 结构=区间震荡
4h=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1d=信号=观望 方向=多头 评分=1.7 结构=区间震荡","5m=等级=一般 分=50.65
15m=等级=紧张 分=49.56
1h=等级=一般 分=54.16
4h=等级=紧张 分=45.53
1d=等级=一般 分=54.17","5m=风险=8.87 陈旧=0
15m=风险=0.141 陈旧=0
1h=风险=1.04 陈旧=0
4h=风险=1.02 陈旧=0
1d=风险=2.6 陈旧=0"
8,SOL,42.3139,主动买领先空,763071845.9,3.977%,-0.004%,0.665,1.8175,-1.6749,2,75,"5m=-0.146%
15m=-0.102%
1h=-0.003%
4h=-1.805%
1d=-2.229%
1w=-7.362%","5m=-0.12%
15m=-0.232%
1h=-0.189%
4h=-1.687%
1d=-2.879%
1w=-4.794%","5m=-0.5829
15m=-0.2098
1h=0.0393
4h=-0.8663
1d=-0.1581
1w=-1.0937","5m=-0.6541
15m=-0.6768
1h=-0.2211
4h=-1.0302
1d=-0.5808
1w=-1.6374","5m=-0.025%
15m=0.13%
1h=0.186%
4h=-0.119%
1d=0.651%
1w=-2.568%","5m=2026-05-30 14:40:00
